pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6530,XX,cde_fo,OPTCUR,JPYINR,JPYINR24N2258.5CE,CE,JPYINR24N2258.5CE,,27,,,,,,25000,1,1416753000,1000,4,5.85e+08,CDS,OPTCUR,1416753000,,1416726000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1416700800,1416753000,,,,,,315513000,0,1,0,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,1.25,0,10000
6531,XX,cde_fo,OPTCUR,EURUSD,EURUSD24NOV1.045PE,PE,EURUSD24NOV1.045PE,,41,,,,,,1000,1,1417185000,1000,4,1.045e+07,CDS,OPTCUR,1417185000,,1417158000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1417132800,1417185000,,,,,,315513000,0,1,0,1,0,65000,3000,1,1,1,0,0,1,0,1e+12,0,0,10000
6532,XX,cde_fo,OPTCUR,USDINR,USDINR2510381.75CE,CE,USDINR2510381.75CE,,1,,,,,,25000,1,1420381800,1000,4,8.175e+08,CDS,OPTCUR,1420381800,,1420354800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1420329600,1420381800,,,,,,315513000,0,1,0,1,0,3.635e+07,3.08e+07,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6533,XX,cde_fo,OPTCUR,USDINR,USDINR2510381.75PE,PE,USDINR2510381.75PE,,1,,,,,,25000,1,1420381800,1000,4,8.175e+08,CDS,OPTCUR,1420381800,,1420354800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1420329600,1420381800,,,,,,315513000,0,1,0,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6534,XX,cde_fo,OPTCUR,USDINR,USDINR2510382CE,CE,USDINR2510382CE,,1,,,,,,25000,1,1420381800,1000,4,8.2e+08,CDS,OPTCUR,1420381800,,1420354800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1420329600,1420381800,,,,,,315513000,0,1,0,1,0,3.3875e+07,2.8325e+07,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6535,XX,cde_fo,OPTCUR,USDINR,USDINR2510382PE,PE,USDINR2510382PE,,1,,,,,,25000,1,1420381800,1000,4,8.2e+08,CDS,OPTCUR,1420381800,,1420354800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1420329600,1420381800,,,,,,315513000,0,1,0,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6536,XX,cde_fo,OPTCUR,USDINR,USDINR2510382.25CE,CE,USDINR2510382.25CE,,1,,,,,,25000,1,1420381800,1000,4,8.225e+08,CDS,OPTCUR,1420381800,,1420354800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1420329600,1420381800,,,,,,315513000,0,1,0,1,0,3.1375e+07,2.5875e+07,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6537,XX,cde_fo,OPTCUR,USDINR,USDINR2510382.25PE,PE,USDINR2510382.25PE,,1,,,,,,25000,1,1420381800,1000,4,8.225e+08,CDS,OPTCUR,1420381800,,1420354800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1420329600,1420381800,,,,,,315513000,0,1,0,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6538,XX,cde_fo,OPTCUR,USDINR,USDINR2510382.5CE,CE,USDINR2510382.5CE,,1,,,,,,25000,1,1420381800,1000,4,8.25e+08,CDS,OPTCUR,1420381800,,1420354800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1420329600,1420381800,,,,,,315513000,0,1,0,1,0,2.89e+07,2.34e+07,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6539,XX,cde_fo,OPTCUR,JPYINR,JPYINR24N2258.5PE,PE,JPYINR24N2258.5PE,,27,,,,,,25000,1,1416753000,1000,4,5.85e+08,CDS,OPTCUR,1416753000,,1416726000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1416700800,1416753000,,,,,,315513000,0,1,0,1,0,5.0575e+07,3.4825e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
