pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
437067,,mcx_fo,OPTFUT,SILVER,SILVER25JUN93750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.375e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,697750,,-19800,0,1,20,30,0,1.20855e+06,335350,1,1,1,1,0,1,0,-1,0,0,600
437068,,mcx_fo,OPTFUT,SILVER,SILVER25JUN93500CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.35e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,709000,,-19800,0,1,20,30,0,1.224e+06,342150,1,1,1,1,0,1,0,-1,0,0,600
437069,,mcx_fo,OPTFUT,SILVER,SILVER25JUN93250CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.325e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,720350,,-19800,0,1,20,30,0,1.2396e+06,349100,1,1,1,1,0,1,0,-1,0,0,600
437070,,mcx_fo,OPTFUT,SILVER,SILVER25JUN93000CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.3e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,731850,,-19800,0,1,20,30,0,1.2553e+06,356150,1,1,1,1,0,1,0,-1,0,0,600
437071,,mcx_fo,OPTFUT,SILVER,SILVER25JUN92750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.275e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,743500,,-19800,0,1,20,30,0,1.2711e+06,363300,1,1,1,1,0,1,0,-1,0,0,600
437072,,mcx_fo,OPTFUT,SILVER,SILVER25JUN92500CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.25e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,755300,,-19800,0,1,20,30,0,1.28705e+06,370600,1,1,1,1,0,1,0,-1,0,0,600
437073,,mcx_fo,OPTFUT,SILVER,SILVER25JUN92250CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.225e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,767200,,-19800,0,1,20,30,0,1.30315e+06,378000,1,1,1,1,0,1,0,-1,0,0,600
437074,,mcx_fo,OPTFUT,SILVER,SILVER25JUN92000CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.2e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,779250,,-19800,0,1,20,30,0,1.31935e+06,385500,1,1,1,1,0,1,0,-1,0,0,600
437075,,mcx_fo,OPTFUT,SILVER,SILVER25JUN91750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.175e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,791450,,-19800,0,1,20,30,0,1.33565e+06,393150,1,1,1,1,0,1,0,-1,0,0,600
437076,,mcx_fo,OPTFUT,SILVER,SILVER25JUN93750PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.375e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,676300,,-19800,0,1,20,30,0,1.12395e+06,377050,1,1,1,1,0,1,0,-1,0,0,600
