pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1,,bse_cm,,SENSEX,SENSEX,,SENSEX,,,,,SENSEX,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0
12,,bse_cm,,BANKEX,BANKEX,,BANKEX,,,,,BANKEX,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0
47,,bse_cm,,SENSEX50,SENSEX50,,SENSEX50,,,,,SENSEX50,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0
533001,B,bse_cm,,SOMICONVEY,SOMICONVEY,,SOMICONVEY,INE323J01019,,,,SOMI CONVEYOR BELTINGS LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-24,2024-09-30,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,,0,1,0,1,0,22550,15040,1,1,1,0,0,1,0,1.17797e+07,0,0,0
533002,F,bse_cm,,DWSFTS50AG,DWSFTS50AG,,DWSFTS50AG-B,INF223J01051,,,,DEUTSCHE MUTUAL FUND - DWS FIX,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,,0,1,0,1,0,1428,1170,1,1,1,0,0,1,0,-1,0,0,0
533004,F,bse_cm,,DWSFTS50BG,DWSFTS50BG,,DWSFTS50BG-B,INF223J01077,,,,DEUTSCHE MUTUAL FUND - DWS FIX,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,,0,1,0,1,0,368,302,1,1,1,0,0,1,0,-1,0,0,0
533007,XT,bse_cm,,LGBFORGE,LGBFORGE,,LGBFORGE-B,INE201J01017,,,,LGB FORGE LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-08-08,2024-08-14,,,,,,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,,0,1,0,1,0,1064,964,1,1,1,0,0,1,0,2.38202e+08,0,0,0
533012,B,bse_cm,,LPDC,LPDC,,LPDC,INE197J01017,,,,LANDMARK PROPERTY DEVELOPMENT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-24,2024-09-30,,,,,,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,,0,1,0,1,0,963,789,1,1,1,0,0,1,0,1.34143e+08,0,0,0
533014,X,bse_cm,,SICAGEN,SICAGEN,,SICAGEN-B,INE176J01011,,,,SICAGEN INDIA LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-13,2024-09-19,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,,0,1,0,1,0,7665,5111,1,1,1,0,0,1,0,3.95717e+07,0,0,0
533018,X,bse_cm,,SIMPLXMIL,SIMPLXMIL,,SIMPLXMIL-B,INE457H01027,,,,SIMPLEX MILLS COMPANY LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-07-31,2024-08-06,,,,,,,,,,,,,,,CASH,,,,,100000,,,,0,20,,,T+1,,0,1,0,1,0,350520,317140,1,1,1,0,0,1,0,30004,0,0,0
533019,X,bse_cm,,SIMPLXPAP,SIMPLXPAP,,SIMPLXPAP-B,INE456H01029,,,,SIMPLEX PAPERS LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-07-31,2024-08-06,,,,,,,,,,,,,,,CASH,,,,,100000,,,,0,20,,,T+1,,0,1,0,1,0,204750,185250,1,1,1,0,0,1,0,30014,0,0,0
533022,B,bse_cm,,20MICRONS,20MICRONS,,20MICRONS,INE144J01027,,,,20 MICRONS LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-07-13,2024-07-19,,,,,,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,,0,1,0,1,0,26250,17500,1,1,1,0,0,1,0,3.52865e+07,0,0,0
533023,A,bse_cm,,ZFCVINDIA,ZFCVINDIA,,ZFCVINDIA,INE342J01019,,,,ZF Commercial Vehicle Control,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2022-07-09,2022-07-27,,,,,,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,,0,1,0,1,0,1.5895e+06,1.05967e+06,1,1,1,0,0,1,0,1.89676e+07,0,0,0
533029,B,bse_cm,,ALKALI,ALKALI,,ALKALI,INE773I01017,,,,ALKALI METALS LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-08-17,2024-08-21,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,,0,1,0,1,0,10389,6927,1,1,1,0,0,1,0,1.01825e+07,0,0,0
