pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6530,XX,cde_fo,OPTCUR,USDINR,USDINR2551690.25PE,PE,USDINR2551690.25PE,,1,,,,,,25000,1,1431873000,1000,4,9.025e+08,CDS,OPTCUR,1431873000,,1431846000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1431820800,1431873000,,,,,,315513000,0,1,0,1,0,4.9725e+07,4.2825e+07,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6531,XX,cde_fo,OPTCUR,GBPUSD,GBPUSD25MAY1.24CE,CE,GBPUSD25MAY1.24CE,,42,,,,,,1000,1,1432909800,1000,4,1.24e+07,CDS,OPTCUR,1432909800,,1432882800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1432857600,1432909800,,,,,,315513000,0,1,0,1,0,978000,702000,8557.03,1,1,0,0,100,0,1e+12,0,0,10000
6539,XX,cde_fo,OPTCUR,USDINR,USDINR2551690.5CE,CE,USDINR2551690.5CE,,1,,,,,,25000,1,1431873000,1000,4,9.05e+08,CDS,OPTCUR,1431873000,,1431846000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1431820800,1431873000,,,,,,315513000,0,1,0,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,0.75,0,10000
6542,XX,cde_fo,OPTCUR,GBPUSD,GBPUSD25MAY1.24PE,PE,GBPUSD25MAY1.24PE,,42,,,,,,1000,1,1432909800,1000,4,1.24e+07,CDS,OPTCUR,1432909800,,1432882800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1432857600,1432909800,,,,,,315513000,0,1,0,1,0,8000,2000,8557.03,1,1,0,0,100,0,1e+12,0,0,10000
1,XX,cde_fo,UNDCUR,USDINR,USDINR,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,UNDCUR,-1,,0,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,4.623e+08,3.78225e+08,1,1,1,0,0,1,0,1e+12,0.5,0,999
2,XX,cde_fo,INDEX,NIFTY,NIFTY50,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,INDEX,-1,,0,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,1.10002e+09,9e+08,1,1,2,0,0,1,0,1e+12,0,0,7000
3,XX,cde_fo,UNDIRC,883GS2023,GOI8.83%2023,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,UNDIRC,-1,,1385389800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,1.1e+09,9e+08,1,1,2,0,883,1,0,1e+12,0,0,1250
6549,XX,cde_fo,OPTCUR,GBPUSD,GBPUSD25MAY1.245CE,CE,GBPUSD25MAY1.245CE,,42,,,,,,1000,1,1432909800,1000,4,1.245e+07,CDS,OPTCUR,1432909800,,1432882800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1432857600,1432909800,,,,,,315513000,0,1,0,1,0,929000,655000,8557.03,1,1,0,0,100,0,1e+12,0,0,10000
4,XX,cde_fo,UNDIRC,840GS2024,GOI8.40%2024,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,UNDIRC,-1,,1406644200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,1.1e+09,9e+08,1,1,2,0,840,1,0,1e+12,0,0,1250
5,XX,cde_fo,INDEX,NIFTYFUTM1,NIFTYFUTURESNEARMONTH,XX,,,0,,,,,,25000,1,-1,1000,4,-1,CDS,INDEX,-1,,0,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,0,0,,,,,,315513000,0,1,0,1,0,1.10002e+09,9e+08,1,1,2,0,0,1,0,1e+12,0,0,7000
