pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
437067,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.375e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,686950,,-19800,0,1,20,30,0,1.29935e+06,274900,1,1,1,1,0,1,0,-1,0,0,600
437068,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593500CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.35e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,700600,,-19800,0,1,20,30,0,1.31835e+06,282350,1,1,1,1,0,1,0,-1,0,0,600
437069,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593250CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.325e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,714500,,-19800,0,1,20,30,0,1.33745e+06,290000,1,1,1,1,0,1,0,-1,0,0,600
437070,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593000CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.3e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,728550,,-19800,0,1,20,30,0,1.35665e+06,297800,1,1,1,1,0,1,0,-1,0,0,600
437071,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.275e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,742750,,-19800,0,1,20,30,0,1.37605e+06,305750,1,1,1,1,0,1,0,-1,0,0,600
437072,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592500CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.25e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,757150,,-19800,0,1,20,30,0,1.39555e+06,313900,1,1,1,1,0,1,0,-1,0,0,600
437073,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592250CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.225e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,771750,,-19800,0,1,20,30,0,1.4152e+06,322200,1,1,1,1,0,1,0,-1,0,0,600
437074,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2592000CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.2e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,786500,,-19800,0,1,20,30,0,1.43495e+06,330650,1,1,1,1,0,1,0,-1,0,0,600
437075,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2591750CE,CE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.175e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,801450,,-19800,0,1,20,30,0,1.45485e+06,339300,1,1,1,1,0,1,0,-1,0,0,600
437076,,mcx_fo,OPTFUT,SILVER,SILVER25JUN2593750PE,PE,,,436580,,,SILVER,,,50,30,1750895999,-1,2,9.375e+06,MCX,OPTFUT,1750895999,1721606400,1750895999,,,,,,,,,,,KGS,KGS,1750895999,1750895999,1750636800,,,SILVER999EXAHMEDABAD,,COM,,,,,,KGS,1750895999,1750895999,,0.000,-1.0000,416900,,-19800,0,1,20,30,0,862500,171650,1,1,1,1,0,1,0,-1,0,0,600
