pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6531,IV,nse_cm,,NHIT,NHIT-IV,,NHIT-IV,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,25000,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1426723200,106.80-160.20,0,0,1429382104,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,747954,25000,0,16020,10680,1,1,1,0,0,1,0,1.3122e+09,0,0,747954
6542,BL,nse_cm,,NHIT,NHIT-BL,,NHIT-BL,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,0,132.16-134.83,0,0,1429375219,,,,,,,,,,CASH,,,,,10000,,,,,,,,T+1,315513000,0,1,0,1,0,13483,13216,1,1,1,0,0,1,0,1.3122e+09,0,0,99999999
6543,EQ,nse_cm,,GRPLTD,GRPLTD-EQ,,GRPLTD,INE137I01015,,,,GRP LIMITED,,,10,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1418083200,1418601600,0,2674.70-3268.90,0,0,1429382104,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,33647,1,0,326890,267470,1,1,1,0,0,1,0,5.33333e+06,0,0,33647
6545,EQ,nse_cm,,NYKAA,NYKAA-EQ,,NYKAA,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,170.50-208.39,0,0,1429382104,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,525936,1,0,20839,17050,1,1,1,0,0,1,0,2.85835e+09,0,0,525936
1,SM,nse_cm,,GOLDSTAR,GOLDSTAR-SM,,GOLDSTAR-SM,INE405Y01021,,,,GOLDSTAR POWER LIMITED,,,5,11250,-1,-1,2,-1,NSE,,,1192060800,,1192060800,0,0,1411516800,1412035200,0,9.00-13.40,0,0,1429382104,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,7871053,11250,0,1340,900,1,1,1,0,0,1,0,2.40705e+08,0,0,7871053
6548,BL,nse_cm,,GRPLTD,GRPLTD-BL,,GRPLTD-BL,INE137I01015,,,,GRP LIMITED,,,10,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1418083200,1418601600,0,2942.10-3001.50,0,0,1429376300,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,300150,294210,1,1,1,0,0,1,0,5.33333e+06,0,0,99999999
4,EQ,nse_cm,,21STCENMGM,21STCENMGM-EQ,,21STCENMGM,INE253B01015,,,,21ST CENTURY MGMT SERVICE,,,1,1,-1,-1,2,-1,NSE,,,484531200,,483926400,0,0,1407024000,1407542400,0,74.48-77.53,0,0,1429382104,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,343350,1,0,7753,7448,1,1,1,0,0,1,0,1.05e+07,0,0,343350
7,EQ,nse_cm,,AARTIIND,AARTIIND-EQ,,AARTIIND,INE769A01020,,,,AARTI INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,473040000,,476668800,0,0,0,0,1406419200,359.80-439.70,0,0,1429382104,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,250138,1,0,43970,35980,1,1,1,0,0,1,0,3.6252e+08,0,0,250138
6553,BL,nse_cm,,NYKAA,NYKAA-BL,,NYKAA-BL,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,187.55-191.34,0,0,1429376300,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,19134,18755,1,1,1,0,0,1,0,2.85835e+09,0,0,99999999
6556,SG,nse_cm,,694AS31,694AS31-SG,,694AS31-SG,IN1220210125,,,,SDL AS 6.94% 2031,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1429375219,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
