pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1,XX,nse_com,UNDCOM,GOLD,GOLD,XX,,,0,,,GOLD,,,10000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,0,0,,,,305820000,,,0,1,0,1,0,3.3641e+08,2.7524e+08,1,1,100,10,0,1,0,1e+12,1,0,10
2,XX,nse_com,UNDCOM,GOLDM,GOLDMINI,XX,,,0,,,GOLDMINI,,,10000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,995 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,0,0,,,,305820000,,,0,1,0,1,0,3.3641e+08,2.7524e+08,1,1,10,10,0,1,0,1e+12,1,0,100
3,XX,nse_com,UNDCOM,SILVER,SILVER,XX,,,0,,,SILVER,,,10000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,999 PURE MIN,0,0,,,KG,,,,,,,,COM,,,,,,,0,0,,,,375900000,,,0,1,0,1,0,4.1349e+08,3.3831e+08,1,1,30,1,0,1,0,1e+12,1,0,20
4,XX,nse_com,UNDCOM,BRCRUDE,BRENTCRUDEOIL,XX,,,0,,,BRENTCRUDEOIL,,,10000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,BRENT BLEND ,0,0,,,BBL,,,,,,,,COM,,,,,,,0,0,,,,40930000,,,0,1,0,1,0,4.503e+07,3.684e+07,1,1,100,1,0,1,0,1e+12,1,0,100
5,XX,nse_com,UNDCOM,BRCRUDEM,BRENTCRUDEOILMINI,XX,,,0,,,BRENTCRUDEOILMINI,,,10000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,BRENT BLEND ,0,0,,,BBL,,,,,,,,COM,,,,,,,0,0,,,,40930000,,,0,1,0,1,0,4.503e+07,3.684e+07,1,1,10,1,0,1,0,1e+12,1,0,1000
6,XX,nse_com,UNDCOM,XAUGOLD,XAUGOLD,XX,,,0,,,XAUGOLD,,,10000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,"            ",0,0,,,,,,,,,,,COM,,,,,,,0,0,,,,464270000,,,0,1,0,1,0,5.107e+08,4.1785e+08,1,1,100,0,0,1,0,1e+12,1,0,10
7,XX,nse_com,UNDCOM,DEGUMSYOIL,CRUDEDEGUMSOYBEANOIL,XX,,,0,,,CRUDEDEGUMSOYBEANOIL,,,1000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,ASPERCONTSP ,0,0,,,KG,,,,,,,,COM,,,,,,,0,0,,,,9500000,,,0,1,0,1,0,1.045e+07,8.55e+06,1,1,1000,10,0,1,0,1e+12,1,0,70
8,XX,nse_com,UNDCOM,COPPER,COPPER,XX,,,0,,,COPPER,,,500,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,ASPERCONTSPE,0,0,,,KGS,,,,,,,,COM,,,,,,,0,0,,,,6550000,,,0,1,0,1,0,7.205e+06,5.895e+06,1,1,2500,1,0,1,0,1e+12,1,0,70
9,XX,nse_com,UNDCOM,GOLD1G,GOLD1GM,XX,,,0,,,GOLD1GM,,,10000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,999 PURE MIN,0,0,,,GMS,,,,,,,,COM,,,,,,,0,0,,,,48850000,,,0,1,0,1,0,5.374e+07,4.397e+07,1,1,1,1,0,1,0,1e+12,1,0,10000
10,XX,nse_com,UNDCOM,SILVERM,SILVERMINI,XX,,,0,,,SILVERMINI,,,10000,1,-1,-1,2,-1,NSE,UNDCOM,-1,0,0,0,0,0,0,0,0,ASPERCONTSPE,0,0,,,KG,,,,,,,,COM,,,,,,,0,0,,,,692450000,,,0,1,0,1,0,7.617e+08,6.2321e+08,1,1,5,1,0,1,0,1e+12,1,0,120
