Stock,FC Est. Qtr Revenue Surprise %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
SJVN,12.62%,101.04,"39,706.7",39.38,2.72,2.43,-66.22%,-34.62%,"31 Dec, 2024"
Gopal Snacks,12.71%,294.35,"3,668.3",43.35,8.27,-2.7,-81.59%,-2.25%,"31 Dec, 2024"
State Bank,13.78%,785.25,"7,00,805.8",9.04,1.46,0.66,3.96%,1.88%,"31 Mar, 2025"
Indian Hume Pipe Company,13.79%,424.75,"2,237.7",4.01,2.59,0.01,"3,375.46%",3.02%,"31 Mar, 2025"
Netweb Technologies,14.24%,1810.7,"10,258.3",89.61,22.49,1.76,41.79%,24.15%,"31 Mar, 2025"
Sobha,14.81%,1366.7,"13,790",226.59,3.93,-6.89,-16.88%,31.12%,"31 Dec, 2024"
Antony Waste Handling,15.48%,599.7,"1,702.1",23.36,2.82,3.48,30.42%,9.72%,"31 Dec, 2024"
Swaraj Engines,16.42%,4089.1,"4,967.2",29.93,14.53,1.47,42.16%,31.45%,"31 Mar, 2025"
360 One Wam,16.92%,992.1,"39,058.8",38.47,9.99,1.47,-9.72%,8.02%,"31 Mar, 2025"
Apollo Micro Systems,17.3%,150.65,"4,617.3",83.44,8.03,0.71,16.29%,-7.66%,"31 Dec, 2024"
Deepak Fertilisers,17.44%,1361.5,"17,187.3",18.41,3.16,0.17,10.58%,3.42%,"31 Mar, 2025"
Lumax Industries,17.48%,2774.6,"2,593.6",19.65,3.73,0.52,18.38%,9.27%,"31 Dec, 2024"
Cohance Lifesciences,18.5%,1080.5,"27,505.8",98.5,13.9,-3.99,0.81%,19.18%,"31 Dec, 2024"
Pricol,20.06%,443.75,"5,408.5",32.38,5.77,1.72,-15.69%,21.39%,"31 Mar, 2025"
Lux Industries,20.9%,1567.4,"4,713.4",27.28,2.86,0.42,-37.36%,-18.42%,"31 Dec, 2024"
Landmark Cars,20.91%,443.35,"1,834.4",73.11,3.41,-,"47,412.5%",31.72%,"31 Dec, 2024"
Zen Technologies,23.22%,1888.8,"17,054.1",60.85,10.92,0.51,154.4%,113.5%,"31 Mar, 2025"
Anupam Rasayan,23.81%,957.2,"10,522.6",132.05,3.78,-2.73,69.08%,32.72%,"31 Dec, 2024"
Data Patterns,23.92%,2740.8,"15,344.1",69.18,11.37,3.13,155.44%,238.53%,"31 Mar, 2025"
Indo Count,24.49%,327.05,"6,477.4",19.82,2.95,-4.84,-7.45%,11.17%,"31 Dec, 2024"
Nazara Technologies,29.31%,1301,"11,398.9",146.33,6.02,9.71,88.92%,67.65%,"31 Dec, 2024"
Godfrey Phillips,32.97%,8324.5,"43,282.3",40.37,9.19,1.89,-11.58%,-1.12%,"31 Mar, 2025"
Embassy Developments,256.48%,102.49,"13,534.4",-47.57,2.88,-0.64,-7.86%,13.23%,"31 Dec, 2024"
Juniper Hotels,901.98%,292.55,"6,509.3",103.18,2.47,0.12,216.77%,17.71%,"31 Dec, 2024"
EID Parry,"1,318.87%",981.5,"17,448.9",21.49,2.35,-3.99,-36.24%,-6.54%,"31 Dec, 2024"
