Stock,FC Est. No of bullish Est.ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
ACC,25,1944.3,"36,511.5",15.19,2.18,5.26,-31.21%,2.35%,"31 Mar, 2025"
Bajaj Auto,26,8733.5,"2,43,889.6",32.37,7.87,18.05,58.48%,-0.59%,"31 Dec, 2024"
Godrej Consumer Products,27,1264,"1,29,308.2",69.81,10.62,0.16,-17.34%,-4.52%,"31 Mar, 2025"
Shriram Finance,28,649.75,"1,22,187.2",12.79,2.33,0.43,-33.97%,7.07%,"31 Mar, 2025"
Marico,28,698.25,"90,481.9",55.54,19.44,5.56,-14.04%,-2.29%,"31 Mar, 2025"
Larsen & Toubro,28,3551.4,"4,99,443",33.21,5.6,2.19,63.67%,15.04%,"31 Mar, 2025"
HDFC Life Insurance,29,755.85,"1,62,778.3",89.89,10.43,5.98,12.83%,39.83%,"31 Mar, 2025"
Crompton Greaves,29,346,"22,277.3",40.07,7.17,1.52,54.3%,16.47%,"31 Mar, 2025"
Infosys,29,1547.5,"6,42,864.5",24.07,7.11,13.12,3.34%,-2.01%,"31 Mar, 2025"
Federal Bank,29,201.17,"49,416.1",11.88,1.48,1.66,15.55%,-2.16%,"31 Mar, 2025"
Ambuja Cements,29,567.75,"1,39,843.8",33.5,2.78,2.01,-54.79%,6%,"31 Mar, 2025"
Sun Pharmaceutical,30,1718.7,"4,12,373.7",37.68,6.15,2.64,-26.06%,-5.24%,"31 Mar, 2025"
Bharti Airtel,30,1831.4,"10,62,244.5",31.66,12.2,0.09,-25.43%,6.09%,"31 Mar, 2025"
SBI Life Insurance,31,1759.3,"1,76,314",73.06,10.84,2.66,47.69%,22.31%,"31 Mar, 2025"
Ashok Leyland,31,238.8,"70,124.3",24.78,6.8,1.32,7.98%,7.6%,"31 Dec, 2024"
TCS,32,3477,"12,58,009",25.91,12.39,4.5,-1.26%,0.79%,"31 Mar, 2025"
Reliance Industries,32,1409.4,"19,07,266.7",26.18,2.33,5.64,21.96%,8.92%,"31 Mar, 2025"
Maruti Suzuki,32,12445,"3,91,274",26.98,4.39,3.45,4.94%,5.56%,"31 Mar, 2025"
UltraTech Cement,34,11680,"3,44,185.3",53.24,5.61,-6.91,67.95%,34.14%,"31 Mar, 2025"
State Bank,34,785.25,"7,00,805.8",9.04,1.46,0.66,3.96%,1.88%,"31 Mar, 2025"
ITC,34,426.1,"5,33,226.6",15.35,7.1,0.22,299.76%,-0.13%,"31 Mar, 2025"
Axis Bank,35,1188.5,"3,68,416.8",13.13,2.15,2.08,10.87%,0.9%,"31 Mar, 2025"
Mahindra & Mahindra,36,3006.3,"3,73,842.1",28.91,5.3,1.96,3.6%,2.72%,"31 Mar, 2025"
ICICI Bank,38,1442.1,"10,28,306.1",20.15,3.67,1.6,4.8%,2.87%,"31 Mar, 2025"
HDFC Bank,38,1919.9,"14,70,270.2",20.77,3.07,1.98,6.67%,2.05%,"31 Mar, 2025"
