Stock,FC Est. 1Y fwd Dividend Yield %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Foods & Inns,3.99%,100.29,736.3,5.19,1.43,0.02,"15,488.18%",109.75%,"31 Mar, 2025"
Jagran Prakashan,4.02%,74.71,"1,626.1",9.59,0.85,-1.22,45.66%,15.68%,"31 Dec, 2024"
Hero MotoCorp,4.03%,4276.3,"85,532.7",19.53,4.5,1.15,4.86%,-2.83%,"31 Mar, 2025"
Dwarikesh Sugar,4.08%,48.97,907.4,38.89,1.12,-0.54,331.88%,46.73%,"31 Mar, 2025"
VST Industries,4.18%,286.9,"4,873.3",16.78,4.3,-4.53,-61.1%,-4.88%,"31 Mar, 2025"
Bharat Petroleum,4.24%,313.05,"1,35,816.9",10.18,1.76,-0.2,15.39%,-1.71%,"31 Mar, 2025"
Uniparts,4.24%,339.25,"1,531.2",16.32,1.74,-0.49,-9.5%,-13.71%,"31 Dec, 2024"
NMDC,4.33%,71.19,"62,589",9.66,2.21,14.44,55.33%,33.52%,"31 Dec, 2024"
Castrol,4.55%,209.31,"20,703.3",21.92,8.84,2.89,-13.98%,5.03%,"31 Mar, 2025"
Hindustan Zinc,4.66%,442.4,"1,86,928.1",18.06,24.53,0.54,12.14%,5.49%,"31 Mar, 2025"
Bajaj Consumer Care,4.93%,171.03,"2,344",18.71,3.38,-0.96,22.42%,6.86%,"31 Mar, 2025"
REC,4.94%,401.8,"1,05,802.9",6.66,1.44,0.54,5.73%,7.44%,"31 Mar, 2025"
Gujarat Pipavav Port,4.98%,145.06,"7,012.8",20.02,3.02,-3.23,31.64%,15.79%,"31 Dec, 2024"
Gujarat State Fertilizer,5%,200.15,"7,975.5",13.49,0.59,2.81,-46.39%,-31.69%,"31 Mar, 2025"
Oil And Natural Gas,5.21%,241.67,"3,04,027.6",8.41,0.86,-0.33,-15.07%,2.84%,"31 Mar, 2025"
Mindspace REIT,5.31%,395.75,"23,468.7",46.2,1.68,1.33,7.88%,1.86%,"31 Dec, 2024"
Indus Towers,5.36%,383.95,"1,01,292.3",10.2,3.57,0.16,-55.56%,2.38%,"31 Mar, 2025"
DB Corp,5.43%,239.27,"4,263.6",11.49,1.99,-0.9,-55.73%,-14.78%,"31 Mar, 2025"
Ador Welding,5.58%,950.85,"1,654.8",43.72,3.44,-1.09,30.81%,12.85%,"31 Mar, 2025"
Brookfield Real Estate,6.2%,298.93,"18,167.5",-,1.13,-,3.17%,1.92%,"31 Dec, 2024"
Nexus Select Trust,6.25%,135.29,"20,496.4",39.81,1.37,2.72,7.7%,7.91%,"31 Dec, 2024"
Embassy Office Parks REIT,6.49%,389.87,"36,955.5",22.75,1.54,0.33,-253.53%,6.31%,"31 Mar, 2025"
Coal,6.82%,398.85,"2,45,800.4",6.95,2.56,1.32,12.91%,5.71%,"31 Mar, 2025"
Vedanta,7.04%,435.1,"1,70,141",11.35,4.54,0.04,-1.8%,3.43%,"31 Mar, 2025"
Oriental Carbon,8.05%,186.31,186.1,7.74,0.71,-0.17,828.14%,-7.67%,"31 Dec, 2024"
