Stock,FC Est. 12Mth Upside %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Ratnaveer Precision,85.49%,156.34,829.4,17.72,2.43,0.35,-5.26%,-20.21%,"31 Mar, 2025"
TARC,86.51%,160.85,"4,746.6",-26.6,4.04,0.04,57.42%,116.69%,"31 Dec, 2024"
JTL Industries,87.51%,70.61,"2,775.6",24.88,3.56,-3.49,-5.36%,-5.86%,"31 Dec, 2024"
Puravankara,88.69%,255.18,"6,051.6",-59.92,3.21,0.26,-450.72%,-35.79%,"31 Dec, 2024"
Protean eGov Tech,88.8%,1004.35,"4,072.3",44.04,-,-6.22,-11.03%,9.81%,"31 Mar, 2025"
Jindal Saw,89.24%,209.08,"13,370.8",7.69,1.32,1.96,-42.48%,-4.26%,"31 Mar, 2025"
Gujarat Ambuja,89.56%,116.06,"5,323.3",21.35,1.84,-0.76,-55.32%,12%,"31 Mar, 2025"
Sterling Tools,89.78%,319.85,"1,157.4",19.85,2.41,3.75,-35.21%,-23.43%,"31 Mar, 2025"
Allcargo Logistics,90.45%,30.98,"3,044.7",71.61,1.19,-0.89,-70.73%,-4.54%,"31 Dec, 2024"
Stove Kraft,90.79%,568.7,"1,881",48.85,4.12,3.82,-88.07%,-22.54%,"31 Mar, 2025"
Easy Trip Planners,90.91%,11,"3,898.5",51.14,6.45,-1.04,30.04%,4.08%,"31 Dec, 2024"
Allcargo Gati,94.53%,65.8,967.8,72.44,1.21,-9.07,631.93%,-12.53%,"31 Mar, 2025"
Orchid Pharma,98.94%,722.65,"3,665.2",33.22,2.99,-5.24,-23.72%,-2.41%,"31 Dec, 2024"
Gujarat Industries,100.7%,191.83,"2,977.5",14.08,0.88,2.16,77.88%,5.05%,"31 Mar, 2025"
Strides Pharma,101.55%,730.35,"6,731.1",20.18,3.24,0.04,-6.54%,3.18%,"31 Mar, 2025"
Dish TV,107.55%,5.3,975.9,-0.47,-0.35,0.02,-24.51%,-5.71%,"31 Dec, 2024"
I G Petrochemicals,120.48%,459,"1,413.5",13,1.09,0.07,-33.58%,-13.97%,"31 Mar, 2025"
Hi-Tech Pipes,121.9%,94.94,"1,928.3",29.02,2.57,0.8,5.73%,7.81%,"31 Dec, 2024"
Paisalo Digital,139.08%,31.37,"2,830",14.14,1.99,1.2,-25.86%,-4.9%,"31 Mar, 2025"
One Mobikwik Systems Ltd.,157.49%,271.85,"2,111.9",-17.38,13.08,0.02,-1.36%,-0.63%,"31 Mar, 2025"
Vakrangee,158.39%,11.03,"1,194.8",179.5,6.04,3.39,113.43%,-6.92%,"31 Mar, 2025"
Rajesh Exports,206.45%,195.79,"5,780.9",94.22,0.37,-1.03,-22.07%,44.39%,"31 Dec, 2024"
Aditya Birla Fashion,213.91%,89.85,"10,964.4",-17.45,2.58,2.38,72.4%,18.14%,"31 Dec, 2024"
Oriental Carbon,298.26%,186.31,186.1,7.74,0.71,-0.17,828.14%,-7.67%,"31 Dec, 2024"
Raymond,487.84%,664.3,"4,422.5",0.58,1.23,0,84.06%,-41.56%,"31 Mar, 2025"
