Stock,FC Est. Capex Growth YoY %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Dreamfolks Services,329.75%,272.69,"1,452.6",21.2,5.48,-2.08,6.83%,7.33%,"31 Dec, 2024"
I G Petrochemicals,340%,459,"1,413.5",13,1.09,0.07,-33.58%,-13.97%,"31 Mar, 2025"
InterGlobe Aviation,344.96%,5503,"2,12,657.6",29.3,55.94,-2.62,25.27%,0.19%,"31 Mar, 2025"
CESC,351.71%,168.21,"22,297.4",16.29,1.85,-32.01,40.75%,8.87%,"31 Mar, 2025"
TeamLease Services,380.58%,2082.9,"3,492.8",32.11,4.14,-10.61,22.97%,-2.17%,"31 Mar, 2025"
Yatharth Hospital,381.95%,500.7,"4,824.5",37.06,5.12,0.94,-1.49%,0.64%,"31 Dec, 2024"
Welspun Enterprises,417.24%,472.3,"6,537.3",20.27,2.68,2.18,32.24%,17.83%,"31 Mar, 2025"
Tata Elxsi,428.52%,6202.5,"38,632",49.22,15.54,-51.92,-13.36%,-3.28%,"31 Mar, 2025"
Senores Pharmaceuticals Ltd.,429.21%,512.7,"2,361.2",-,7.76,-,3.78%,10.86%,"31 Mar, 2025"
RateGain Travel,475.34%,502.15,"5,928.1",29.04,3.81,0.5,8.3%,0.52%,"31 Dec, 2024"
Cohance Lifesciences,483.7%,1080.5,"27,505.8",98.5,13.9,-3.99,0.81%,19.18%,"31 Dec, 2024"
Century Textiles,530.9%,2114.1,"23,613.6",-146.45,5.83,0.35,-222.76%,-58.74%,"31 Mar, 2025"
MphasiS,573.79%,2543.7,"48,349.8",28.41,5.58,3,4.37%,4.18%,"31 Mar, 2025"
Vodafone Idea,590.6%,6.75,"73,131.6",-2.62,-1.29,-0.38,7.9%,1.69%,"31 Dec, 2024"
Nuvoco Vistas,629.81%,357.9,"12,782.6",585.28,1.44,-6.87,369.74%,26.27%,"31 Mar, 2025"
Entero Healthcare,687.37%,1452.2,"6,318.2",70.12,3.75,0.13,7.72%,4.48%,"31 Dec, 2024"
Samhi Hotels,795.94%,185.02,"4,092.8",80.37,3.84,0.69,80.62%,11.38%,"31 Dec, 2024"
Just Dial,826.09%,918.55,"7,811.8",13.37,1.81,0.22,20.02%,0.65%,"31 Mar, 2025"
Nitin Spinners,923.81%,383.85,"2,158",12.3,1.77,0.37,3.55%,0.29%,"31 Mar, 2025"
Nexus Select Trust,"1,027.91%",135.29,"20,496.4",39.81,1.37,2.72,7.7%,7.91%,"31 Dec, 2024"
Stylam Industries,"1,060.25%",1777.2,"3,012",23.19,5.03,2.24,-12.59%,-3.12%,"31 Dec, 2024"
Orient Cement,"1,598.74%",352.35,"7,239.4",79.34,4.13,-1.66,314.85%,28.26%,"31 Mar, 2025"
Anant Raj,"2,602.58%",519.85,"17,844.4",41.93,4.66,0.66,7.54%,1.12%,"31 Mar, 2025"
Mankind Pharma,"3,354.79%",2439.2,"1,00,636.2",50.55,9.52,13.72,10.66%,-4.66%,"31 Mar, 2025"
Yatra Online,"4,470.44%",99.87,"1,567.1",58.2,2.07,0.02,37.1%,-0.48%,"31 Dec, 2024"
