Stock,FC Est. 1Y fwd EPS Growth Ann. %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
IRM Energy,273.3%,279.75,"1,148.7",25.41,1.21,-0.54,-56.52%,6.82%,"31 Mar, 2025"
Chemplast Sanmar,279.91%,431.1,"6,816.1",-61.75,3.92,-2.04,-10.96%,8.83%,"31 Mar, 2025"
Raymond Lifestyle Ltd.,281.85%,1082.7,"6,596.2",172.72,0.68,-1.86,-170.05%,-14.82%,"31 Mar, 2025"
Chennai Petroleum,298.28%,684.2,"10,188.5",47.6,1.32,-0.52,"2,161.45%",33.45%,"31 Mar, 2025"
Signatureglobal,300.14%,1206.4,"16,951.2",167.7,26.63,1.12,109.83%,-37.12%,"31 Mar, 2025"
IIFL Finance,300.8%,413.95,"17,587.1",46.43,1.45,-0.59,410.27%,6.09%,"31 Mar, 2025"
Bharat Heavy Electricals,305.44%,247.57,"86,205.4",161.46,3.56,0.5,274.5%,23.58%,"31 Mar, 2025"
Kolte-Patil Developers,335.44%,385,"2,926.2",206.65,4.07,-2.55,159.75%,13.42%,"31 Dec, 2024"
V-Mart Retail,368.99%,3423.5,"6,793.4",148.43,9.6,1.01,-74.16%,-24.02%,"31 Mar, 2025"
Strides Pharma,409.92%,730.35,"6,731.1",20.18,3.24,0.04,-6.54%,3.18%,"31 Mar, 2025"
Shoppers Stop,424.59%,505.55,"5,564",509.99,21.18,-5.94,-96.19%,-22.87%,"31 Mar, 2025"
Westlife Foodworld,444.87%,693.15,"10,808.7",889.85,18.18,-10.79,-78.29%,-7.74%,"31 Mar, 2025"
Prataap Snacks,484.38%,1169,"2,790.8",-81.43,3.75,0.49,68.52%,-9.9%,"31 Mar, 2025"
Allcargo Gati,511.94%,65.8,967.8,72.44,1.21,-9.07,631.93%,-12.53%,"31 Mar, 2025"
Brookfield Real Estate,569.49%,298.93,"18,167.5",-,1.13,-,3.17%,1.92%,"31 Dec, 2024"
Arvind Fashions,575.39%,465.05,"6,200.7",-269.95,6.07,2.1,-449.4%,-1.14%,"31 Mar, 2025"
Tatva Chintan Pharma,602.05%,920.55,"2,153.4",376.92,2.92,-4.64,646.38%,25.58%,"31 Mar, 2025"
Ceat,635.66%,3832.2,"15,501.3",32.8,3.69,-1.24,2.45%,3.66%,"31 Mar, 2025"
HEG,759.05%,480.2,"9,266.8",80.55,2.09,-1.28,-188.33%,13.35%,"31 Mar, 2025"
Yatra Online,809.09%,99.87,"1,567.1",58.2,2.07,0.02,37.1%,-0.48%,"31 Dec, 2024"
Poonawalla Fincorp,891.34%,395.55,"30,781.8",-313.01,3.82,2.96,232.78%,10.33%,"31 Mar, 2025"
Nuvoco Vistas,"1,216.39%",357.9,"12,782.6",585.28,1.44,-6.87,369.74%,26.27%,"31 Mar, 2025"
Inox Wind,"1,575%",184.18,"24,013.3",77.99,9,0.31,25.61%,24.45%,"31 Dec, 2024"
Mangalore Refinery,"4,348.28%",137.19,"24,043.9",427.76,1.95,-4.35,19.83%,12.46%,"31 Mar, 2025"
Solara Active Pharma,"23,114.29%",476.85,"2,109.6","3,906.69",1.93,39.03,-125.96%,-9.09%,"31 Mar, 2025"
