Stock,FC Est. Ann. EPS Surprise %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
HEG,-58%,480.2,"9,266.8",80.55,2.09,-1.28,-188.33%,13.35%,"31 Mar, 2025"
Rajesh Exports,-58.1%,195.79,"5,780.9",94.22,0.37,-1.03,-22.07%,44.39%,"31 Dec, 2024"
Raymond Lifestyle Ltd.,-58.84%,1082.7,"6,596.2",172.72,0.68,-1.86,-170.05%,-14.82%,"31 Mar, 2025"
GMR Airports,-60%,88.95,"93,922.1",-340.01,-55.29,-4.96,195.15%,6.32%,"31 Dec, 2024"
IRM Energy,-61.9%,279.75,"1,148.7",25.41,1.21,-0.54,-56.52%,6.82%,"31 Mar, 2025"
Puravankara,-63.88%,255.18,"6,051.6",-59.92,3.21,0.26,-450.72%,-35.79%,"31 Dec, 2024"
Chemplast Sanmar,-64.76%,431.1,"6,816.1",-61.75,3.92,-2.04,-10.96%,8.83%,"31 Mar, 2025"
Allcargo Logistics,-75.71%,30.98,"3,044.7",71.61,1.19,-0.89,-70.73%,-4.54%,"31 Dec, 2024"
Sobha,-76.02%,1366.7,"13,790",226.59,3.93,-6.89,-16.88%,31.12%,"31 Dec, 2024"
Ceat,-80.15%,3832.2,"15,501.3",32.8,3.69,-1.24,2.45%,3.66%,"31 Mar, 2025"
Brookfield Real Estate,-91.21%,298.93,"18,167.5",-,1.13,-,3.17%,1.92%,"31 Dec, 2024"
Centum Electronics,-91.81%,2058.7,"3,027.8","-1,571.24",13.49,-52.28,211.55%,31.06%,"31 Mar, 2025"
Solara Active Pharma,-99.21%,476.85,"2,109.6","3,906.69",1.93,39.03,-125.96%,-9.09%,"31 Mar, 2025"
PVR INOX,-130.05%,954.15,"9,369.8",-33.51,1.31,0.04,-448.19%,-27.22%,"31 Mar, 2025"
Yatra Online,-131.43%,99.87,"1,567.1",58.2,2.07,0.02,37.1%,-0.48%,"31 Dec, 2024"
Arvind Fashions,-137.65%,465.05,"6,200.7",-269.95,6.07,2.1,-449.4%,-1.14%,"31 Mar, 2025"
Kolte-Patil Developers,-170.71%,385,"2,926.2",206.65,4.07,-2.55,159.75%,13.42%,"31 Dec, 2024"
Poonawalla Fincorp,-180.38%,395.55,"30,781.8",-313.01,3.82,2.96,232.78%,10.33%,"31 Mar, 2025"
Spicejet,-198.07%,44.53,"5,707.4",-37.55,-1.25,-0.52,104.46%,35.22%,"31 Dec, 2024"
Embassy Developments,-298.42%,102.49,"13,534.4",-47.57,2.88,-0.64,-7.86%,13.23%,"31 Dec, 2024"
Glenmark Pharma,-307.69%,1431.4,"40,394.2",-229.73,4.78,-2.91,-1.77%,-1.35%,"31 Dec, 2024"
Camlin Fine Sciences,-315%,193.99,"3,645.5",-16.92,3.99,0.01,95.87%,2.49%,"31 Dec, 2024"
Prataap Snacks,-336.3%,1169,"2,790.8",-81.43,3.75,0.49,68.52%,-9.9%,"31 Mar, 2025"
Muthoot Microfin,-422.8%,129.94,"2,215.4",-9.96,0.74,0.07,"-10,656.58%",-18.47%,"31 Mar, 2025"
Dish TV,"-3,506.67%",5.3,975.9,-0.47,-0.35,0.02,-24.51%,-5.71%,"31 Dec, 2024"
