Stock,FC Est. Ann. Net Income Surprise %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Rajesh Exports,-58.26%,195.79,"5,780.9",94.22,0.37,-1.03,-22.07%,44.39%,"31 Dec, 2024"
Hindware Home Innovation,-59.19%,228.19,"1,908.7",-54.23,2.25,0.31,-14.07%,-5.65%,"31 Dec, 2024"
IRM Energy,-61.95%,279.75,"1,148.7",25.41,1.21,-0.54,-56.52%,6.82%,"31 Mar, 2025"
Signatureglobal,-62.03%,1206.4,"16,951.2",167.7,26.63,1.12,109.83%,-37.12%,"31 Mar, 2025"
Chemplast Sanmar,-65.95%,431.1,"6,816.1",-61.75,3.92,-2.04,-10.96%,8.83%,"31 Mar, 2025"
Strides Pharma,-70.76%,730.35,"6,731.1",20.18,3.24,0.04,-6.54%,3.18%,"31 Mar, 2025"
VIP Industries,-76.34%,365.75,"5,194.4",-75.51,8.01,0.33,-120.29%,-1.37%,"31 Mar, 2025"
Sobha,-77.05%,1366.7,"13,790",226.59,3.93,-6.89,-16.88%,31.12%,"31 Dec, 2024"
Quess Corp,-88.15%,331.7,"4,940.7",27.27,1.69,-0.78,-218.64%,-33.75%,"31 Mar, 2025"
Astec Lifesciences,-89.52%,703,"1,378.7",-10.23,4.73,0.05,60.16%,27.35%,"31 Mar, 2025"
Brookfield Real Estate,-92.55%,298.93,"18,167.5",-,1.13,-,3.17%,1.92%,"31 Dec, 2024"
SIS,-96.32%,355.45,"5,136.7",435.76,1.97,-4.65,-318.73%,1.94%,"31 Mar, 2025"
Solara Active Pharma,-99.37%,476.85,"2,109.6","3,906.69",1.93,39.03,-125.96%,-9.09%,"31 Mar, 2025"
Centum Electronics,-112.9%,2058.7,"3,027.8","-1,571.24",13.49,-52.28,211.55%,31.06%,"31 Mar, 2025"
Arvind Fashions,-137.68%,465.05,"6,200.7",-269.95,6.07,2.1,-449.4%,-1.14%,"31 Mar, 2025"
One97 Communications,-140.96%,828.45,"52,847.5",-80.23,3.64,-1.5,-159.15%,4.58%,"31 Mar, 2025"
RHI Magnesita,-141.74%,471.55,"9,737.6",-106.34,2.49,-1.29,3.54%,16.57%,"31 Dec, 2024"
Glenmark Pharma,-145.01%,1431.4,"40,394.2",-229.73,4.78,-2.91,-1.77%,-1.35%,"31 Dec, 2024"
Yatra Online,-161.11%,99.87,"1,567.1",58.2,2.07,0.02,37.1%,-0.48%,"31 Dec, 2024"
Century Textiles,-208.13%,2114.1,"23,613.6",-146.45,5.83,0.35,-222.76%,-58.74%,"31 Mar, 2025"
Kolte-Patil Developers,-258.95%,385,"2,926.2",206.65,4.07,-2.55,159.75%,13.42%,"31 Dec, 2024"
Muthoot Microfin,-427.3%,129.94,"2,215.4",-9.96,0.74,0.07,"-10,656.58%",-18.47%,"31 Mar, 2025"
Poonawalla Fincorp,-487.93%,395.55,"30,781.8",-313.01,3.82,2.96,232.78%,10.33%,"31 Mar, 2025"
Camlin Fine Sciences,-876.32%,193.99,"3,645.5",-16.92,3.99,0.01,95.87%,2.49%,"31 Dec, 2024"
Dish TV,"-3,963.58%",5.3,975.9,-0.47,-0.35,0.02,-24.51%,-5.71%,"31 Dec, 2024"
