Stock,FC Est. Ann. Revenue Surprise %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Senores Pharmaceuticals Ltd.,-10.75%,512.7,"2,361.2",-,7.76,-,3.78%,10.86%,"31 Mar, 2025"
Angel One,-10.8%,2913.6,"26,347.1",22.48,4.99,5.44,-38%,-16.34%,"31 Mar, 2025"
Suzlon Energy,-11.99%,61.01,"83,271.5",72.82,18.53,1.09,93.27%,41.43%,"31 Dec, 2024"
India Cements,-12.07%,328.8,"10,189.4",-70.92,1.94,-1.93,-88%,27.26%,"31 Mar, 2025"
Prestige Estates,-13.35%,1419.7,"61,150.8",104.98,3.69,-1.6,-90.79%,-28.2%,"31 Dec, 2024"
Olectra Greentech,-13.93%,1257.4,"10,320.8",78.43,10.51,1.77,-2.6%,-1.59%,"31 Dec, 2024"
Spicejet,-14.13%,44.53,"5,707.4",-37.55,-1.25,-0.52,104.46%,35.22%,"31 Dec, 2024"
Jio Financial,-14.69%,274.55,"1,74,425.5",108.16,1.27,215.78,7.24%,12.52%,"31 Mar, 2025"
Apollo Micro Systems,-15.6%,150.65,"4,617.3",83.44,8.03,0.71,16.29%,-7.66%,"31 Dec, 2024"
Solara Active Pharma,-16.44%,476.85,"2,109.6","3,906.69",1.93,39.03,-125.96%,-9.09%,"31 Mar, 2025"
SJVN,-16.54%,101.04,"39,706.7",39.38,2.72,2.43,-66.22%,-34.62%,"31 Dec, 2024"
EID Parry,-16.91%,981.5,"17,448.9",21.49,2.35,-3.99,-36.24%,-6.54%,"31 Dec, 2024"
Max Healthcare,-17.42%,1148.2,"1,11,621.9",103.75,12.69,60.16,33.58%,2.22%,"31 Mar, 2025"
Bharat Dynamics,-18.15%,1924.6,"70,548.6",124.72,18.9,6.68,20.07%,52.75%,"31 Dec, 2024"
Allcargo Gati,-19.2%,65.8,967.8,72.44,1.21,-9.07,631.93%,-12.53%,"31 Mar, 2025"
Ventive Hospitality Ltd.,-20.19%,764.45,"17,853.1",104.16,3.71,0.35,414.25%,348.61%,"31 Mar, 2025"
Sobha,-21.91%,1366.7,"13,790",226.59,3.93,-6.89,-16.88%,31.12%,"31 Dec, 2024"
Inox Wind,-22.34%,184.18,"24,013.3",77.99,9,0.31,25.61%,24.45%,"31 Dec, 2024"
Sterlite Tech,-25.14%,68.44,"3,339.4",-26.5,1.14,0.18,-66.67%,-16.57%,"31 Mar, 2025"
Signatureglobal,-27.31%,1206.4,"16,951.2",167.7,26.63,1.12,109.83%,-37.12%,"31 Mar, 2025"
Sunteck Realty,-28.62%,415.5,"6,086.6",40.49,1.93,0.36,18.5%,27.38%,"31 Mar, 2025"
Quess Corp,-29.63%,331.7,"4,940.7",27.27,1.69,-0.78,-218.64%,-33.75%,"31 Mar, 2025"
Embassy Developments,-33.58%,102.49,"13,534.4",-47.57,2.88,-0.64,-7.86%,13.23%,"31 Dec, 2024"
Astec Lifesciences,-38.91%,703,"1,378.7",-10.23,4.73,0.05,60.16%,27.35%,"31 Mar, 2025"
Mahindra Lifespace,-39.91%,366.05,"5,677.5",92.63,3.1,-2.46,478.3%,-94.48%,"31 Mar, 2025"
