Stock,FC Est. Qtr EPS Surprise %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Greenlam Industries,-55.86%,258.28,"6,590",60.7,5.92,-2.37,-63.29%,-11.57%,"31 Dec, 2024"
Bayer Cropscience,-64.65%,5056.9,"22,726.8",43.65,7.37,-1.24,-74.91%,-39.17%,"31 Dec, 2024"
Poonawalla Fincorp,-67.6%,395.55,"30,781.8",-313.01,3.82,2.96,232.78%,10.33%,"31 Mar, 2025"
Inox Wind,-70%,184.18,"24,013.3",77.99,9,0.31,25.61%,24.45%,"31 Dec, 2024"
Senco Gold,-70.06%,355.05,"5,811.5",45.03,4.07,-1.72,176.23%,40.12%,"31 Dec, 2024"
Healthcare Global,-72.93%,600.05,"8,365.6",143.47,9.71,2.19,-61.2%,0.91%,"31 Dec, 2024"
Grasim Industries,-80.71%,2674.6,"1,79,063.8",46.31,1.93,-1.48,130.56%,3.66%,"31 Dec, 2024"
Protean eGov Tech,-80.72%,1004.35,"4,072.3",44.04,-,-6.22,-11.03%,9.81%,"31 Mar, 2025"
One Mobikwik Systems Ltd.,-81.22%,271.85,"2,111.9",-17.38,13.08,0.02,-1.36%,-0.63%,"31 Mar, 2025"
PSP Projects,-82.96%,659.85,"2,615.8",39.95,2.18,-0.7,-50.54%,7.55%,"31 Dec, 2024"
Heidelberg Cement,-84.67%,198.41,"4,496.2",43.04,3.36,-1.33,-53.7%,17.64%,"31 Dec, 2024"
Godawari Power,-85.64%,199.37,"13,343",16.44,2.96,-1.24,52.82%,13.14%,"31 Mar, 2025"
Allcargo Logistics,-86%,30.98,"3,044.7",71.61,1.19,-0.89,-70.73%,-4.54%,"31 Dec, 2024"
The Ramco Cements,-89.6%,987.8,"23,341",62.36,3.22,-31.79,609.65%,-2.97%,"31 Dec, 2024"
Rallis,-90%,281.5,"5,474.3",43.79,2.84,-2.82,-390.91%,-17.62%,"31 Mar, 2025"
Prestige Estates,-90.14%,1419.7,"61,150.8",104.98,3.69,-1.6,-90.79%,-28.2%,"31 Dec, 2024"
Gopal Snacks,-99.42%,294.35,"3,668.3",43.35,8.27,-2.7,-81.59%,-2.25%,"31 Dec, 2024"
Devyani Intl,-100%,180.19,"21,770.9",982.18,18.67,-12.16,"-2,994.12%",5.91%,"31 Dec, 2024"
GMR Airports,-104%,88.95,"93,922.1",-340.01,-55.29,-4.96,195.15%,6.32%,"31 Dec, 2024"
Fusion Micro Finance,-200.25%,170.74,"2,246.1",-2.42,0.77,0.01,-135.81%,-31.49%,"31 Dec, 2024"
Camlin Fine Sciences,-220%,193.99,"3,645.5",-16.92,3.99,0.01,95.87%,2.49%,"31 Dec, 2024"
TVS Supply Chain,-240%,125.64,"5,542.9","-1,228.99",2.99,-12.78,-364.2%,-2.72%,"31 Dec, 2024"
Mahindra Logistics,-332.5%,322.65,"2,327.3",-67.71,5.16,-1.82,25.25%,-1.55%,"31 Mar, 2025"
Arvind Fashions,-535.62%,465.05,"6,200.7",-269.95,6.07,2.1,-449.4%,-1.14%,"31 Mar, 2025"
Kaveri Seed Company,"-1,610%",1476,"7,592.4",26.99,4.91,-4.63,-248.57%,-48.15%,"31 Mar, 2025"
