Stock,FC Est. Qtr Revenue Surprise %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Puravankara,-16.72%,255.18,"6,051.6",-59.92,3.21,0.26,-450.72%,-35.79%,"31 Dec, 2024"
PTC Industries,-16.77%,15635,"23,427.6",457.91,17.43,11.62,-17.7%,-7.53%,"31 Dec, 2024"
NCL Industries,-16.93%,225.55,"1,020.2",24.21,1.2,-0.52,18.58%,3.33%,"31 Dec, 2024"
NBCC,-17.33%,113.11,"30,539.7",60.92,13.72,1.79,13.4%,14.98%,"31 Dec, 2024"
PNC Infratech,-17.44%,294.4,"7,552.5",6.65,1.3,0.09,-2.48%,3.01%,"31 Dec, 2024"
Ahluwalia Contracts,-17.49%,934.75,"6,261.7",19.66,3.76,0.68,28.03%,-5.88%,"31 Dec, 2024"
Neuland Laboratories,-18.5%,11193,"14,360.5",55.21,10.29,-4.14,-72.63%,-17.5%,"31 Mar, 2025"
Kaveri Seed Company,-18.77%,1476,"7,592.4",26.99,4.91,-4.63,-248.57%,-48.15%,"31 Mar, 2025"
Titagarh Rail Systems,-19.41%,903.3,"12,165.1",42.03,5.17,3.16,-22.21%,-14.64%,"31 Dec, 2024"
La Opala RG,-19.63%,245.86,"2,729.1",28.86,3.34,-0.99,-3.7%,0.75%,"31 Dec, 2024"
Centum Electronics,-21.41%,2058.7,"3,027.8","-1,571.24",13.49,-52.28,211.55%,31.06%,"31 Mar, 2025"
Linde,-23.06%,6982,"59,545.4",134.77,16.6,41.44,9.3%,-4.5%,"31 Dec, 2024"
Godawari Power,-23.16%,199.37,"13,343",16.44,2.96,-1.24,52.82%,13.14%,"31 Mar, 2025"
BEML,-23.61%,3624.4,"15,093.6",57.66,5.59,1.33,-52.18%,1.85%,"31 Dec, 2024"
Jyoti CNC Automation,-28.09%,1214.3,"27,616",90.05,18.48,0.59,5.74%,4.37%,"31 Dec, 2024"
Kolte-Patil Developers,-31.1%,385,"2,926.2",206.65,4.07,-2.55,159.75%,13.42%,"31 Dec, 2024"
Chennai Petroleum,-32.26%,684.2,"10,188.5",47.6,1.32,-0.52,"2,161.45%",33.45%,"31 Mar, 2025"
Easy Trip Planners,-32.71%,11,"3,898.5",51.14,6.45,-1.04,30.04%,4.08%,"31 Dec, 2024"
Prestige Estates,-32.78%,1419.7,"61,150.8",104.98,3.69,-1.6,-90.79%,-28.2%,"31 Dec, 2024"
DEE Development,-36.22%,242,"1,671.1",69.65,2.14,-7.68,-159.86%,-16.5%,"31 Dec, 2024"
Fusion Micro Finance,-39.46%,170.74,"2,246.1",-2.42,0.77,0.01,-135.81%,-31.49%,"31 Dec, 2024"
Natco Pharma,-44.52%,877.3,"15,713.3",8.42,2.68,0.18,-80.36%,-65.37%,"31 Dec, 2024"
DCX Systems,-59.42%,331.95,"3,697.5",72.32,2.76,-1.85,91.95%,2.24%,"31 Dec, 2024"
Oriental Carbon,-90.76%,186.31,186.1,7.74,0.71,-0.17,828.14%,-7.67%,"31 Dec, 2024"
Mahindra Lifespace,-96.2%,366.05,"5,677.5",92.63,3.1,-2.46,478.3%,-94.48%,"31 Mar, 2025"
